run_id,sweep_value,seed,duration_ms,Whale Influence,Whale Proposal Rate,Single Entity Control,Avg Time to Decision,Proposal Abandonment Rate,Voter Concentration Gini,Delegate Concentration,Governance Capture Risk,Voter Participation Rate,Average Turnout,Voter Retention Rate,Proposal Pass Rate,Avg Margin of Victory,Quorum Reach Rate,Final Treasury,Treasury Growth Rate
Conviction Voting Dynamics-168-run-013,168,254,8976,0.41765990768365385,0.14285714285714285,0.03215434083601286,121.1951219512195,0.3492063492063492,0.33284359917454465,0.4663079223762579,0.517329631650429,0.36261461106181603,0.3075619370244032,1,0.6585365853658537,0.35145493532728,0.9841269841269841,10000.083242376098,-0.7778704218697343
Conviction Voting Dynamics-168-run-014,168,255,8959,0.42010338886107657,0.109375,0.03215434083601286,123.34782608695652,0.28125,0.3470143017453382,0.46099140790256754,0.5015041640838355,0.35345496894409945,0.29425955251339464,1,0.6956521739130435,0.3853625626876091,1,12787.645239695166,-0.7159509402545676
Conviction Voting Dynamics-168-run-012,168,253,7889,0.4080818593673569,0.11864406779661017,0.03215434083601286,135.37209302325581,0.2711864406779661,0.34574958982772763,0.4638042285514273,0.49755396937535207,0.35709022002316027,0.28906000283797795,1,0.7209302325581395,0.35463004128683345,1,7767.366231180016,-0.8274652578086612
Conviction Voting Dynamics-168-run-009,168,250,10275,0.4215772416692757,0.17647058823529413,0.03215434083601286,121,0.3088235294117647,0.33044039089774685,0.461054333108795,0.505402343749097,0.36417610522469857,0.30562920683155304,1,0.6170212765957447,0.31478337362040526,1,14150.85796501302,-0.7171031850048385
Conviction Voting Dynamics-168-run-011,168,252,8155,0.40329915073007977,0.13846153846153847,0.03215951117543013,134.64285714285714,0.35384615384615387,0.3613808628596745,0.4455970818161674,0.4963255985159199,0.34696607740086005,0.2798042359488068,1,0.7380952380952381,0.42217178888027107,1,17613.04730351901,-0.6478888420162261
Conviction Voting Dynamics-168-run-015,168,256,9277,0.41839928981415186,0.14705882352941177,0.03215434083601286,126.02222222222223,0.3382352941176471,0.33311580901051474,0.46318780636632073,0.4974150627260069,0.36253196930946296,0.30830496827724413,1,0.7111111111111111,0.37274337615521397,1,55026.92229999846,0.10007047601947065
Conviction Voting Dynamics-168-run-017,168,258,10411,0.42644168226079915,0.1746031746031746,0.03215434083601286,127.1,0.20634920634920634,0.31319619116061803,0.4695948742832635,0.4859145725942014,0.38174110223799657,0.32497271741596795,1,0.64,0.3305708531750707,1,7623.021888480431,-0.830671545913692
Conviction Voting Dynamics-168-run-019,168,260,9842,0.45695212417013165,0.19402985074626866,0.0321646831778707,112.84782608695652,0.31343283582089554,0.3366122512586147,0.46685399653499027,0.47740803816335003,0.3621025308241402,0.3084925276897745,1,0.6739130434782609,0.35334110360903603,1,8213.857258077867,-0.8357927086201957
Conviction Voting Dynamics-168-run-018,168,259,9945,0.43033186873066226,0.21212121212121213,0.03215434083601286,116.34693877551021,0.25757575757575757,0.3182389718816705,0.47085750769262785,0.502131755190812,0.37050630528891404,0.3124734474233394,1,0.7346938775510204,0.34547739431243585,1,9457.254983449826,-0.8109353284422841
Conviction Voting Dynamics-168-run-016,168,257,10523,0.412574565066893,0.17142857142857143,0.03215951117543013,114.45283018867924,0.24285714285714285,0.32646192552631736,0.4646172664226572,0.4919511996952951,0.36450754214729364,0.30554454390632213,1,0.7735849056603774,0.38110490164564687,1,12053.433973146697,-0.7590338275468276
