run_id,sweep_value,seed,duration_ms,Proposal Pass Rate,Proposal Rejection Rate,Governance Capture Risk,Single Entity Control,Avg Time to Decision,Proposal Abandonment Rate,Whale Influence,Delegate Concentration,Collusion Threshold,Avg Margin of Victory,Voter Participation Rate,Average Turnout,Quorum Reach Rate,Total Proposals,Governance Overhead,Final Treasury
Bicameral Attack Resistance-0_5-run-043,0.5,84,977,0.8279569892473119,0.17204301075268819,0.49934133971208894,0.025003125390673835,18.440860215053764,0.041237113402061855,0.42069008949975534,0.48937189678969367,0.09523809523809523,0.397878784057694,0.36298478154148256,0.3118209180746516,1,97,79.50537634408602,11846.443084704286
Bicameral Attack Resistance-0_5-run-045,0.5,86,904,0.7553191489361702,0.24468085106382978,0.5024140447411146,0.025,19.085106382978722,0.020833333333333332,0.4467002573261733,0.4847504010592918,0.1,0.35229436110329354,0.3526289682539682,0.3067515082849387,1,96,75.62765957446808,11912.712430266192
Bicameral Attack Resistance-0_5-run-046,0.5,87,907,0.7011494252873564,0.2988505747126437,0.4957785453134338,0.025,16.67816091954023,0.03333333333333333,0.43679300087876155,0.4989171289155945,0.1,0.39972414463166184,0.35507936507936516,0.30454846233621685,1,90,77.13793103448276,9597.377912638964
Bicameral Attack Resistance-0_5-run-042,0.5,83,1039,0.7425742574257426,0.25742574257425743,0.5058825543085168,0.025003125390673835,18.247524752475247,0.019417475728155338,0.43529331118019393,0.4896038997704729,0.09523809523809523,0.354329834912915,0.36514100785945436,0.31483712006730097,0.9902912621359223,103,78.1980198019802,14007.456378814855
Bicameral Attack Resistance-0_5-run-047,0.5,88,968,0.8021978021978022,0.1978021978021978,0.5096955217907826,0.025003125390673835,18.64835164835165,0.031914893617021274,0.42956953747067717,0.49831055612060726,0.09523809523809523,0.3437894511742401,0.35972644376899693,0.31119664967276806,1,94,78.03296703296704,14216.565855374236
Bicameral Attack Resistance-0_5-run-049,0.5,90,927,0.6976744186046512,0.3023255813953488,0.5333791056562603,0.025,19.348837209302324,0.022727272727272728,0.44210864535168537,0.5003238036362724,0.1,0.3349373650186994,0.369642857142857,0.33501031760921157,1,88,79.43023255813954,5308.505314378337
Bicameral Attack Resistance-0_5-run-048,0.5,89,954,0.8021978021978022,0.1978021978021978,0.5268190990466561,0.025,17.78021978021978,0.021505376344086023,0.4714300181130802,0.5078995193140032,0.1,0.28944401925745783,0.36190476190476184,0.3255025341793097,1,93,77.67032967032966,58558.61646482939
Bicameral Attack Resistance-0_5-run-050,0.5,91,942,0.7340425531914894,0.26595744680851063,0.5137725411156181,0.025,18.170212765957448,0.010526315789473684,0.45194310388223186,0.500299510927157,0.1,0.35727148822158145,0.36611528822055145,0.32086042916969026,1,95,77.70212765957447,7235.773580416922
Bicameral Attack Resistance-0_5-run-051,0.5,92,941,0.6951219512195121,0.3048780487804878,0.5149232629660678,0.025,18.0609756097561,0.012048192771084338,0.4430688987059515,0.4931602505324392,0.1,0.35628067987146306,0.36695352839931134,0.31698682332171546,1,83,78,37335.11100212971
Bicameral Attack Resistance-0_5-run-052,0.5,93,1099,0.7340425531914894,0.26595744680851063,0.5170442241891507,0.025,17.70212765957447,0.030927835051546393,0.4460095327752328,0.50132185630372,0.1,0.33296622279712357,0.3694158075601371,0.32131548266113136,1,97,80.05319148936171,9100.649310114131
Bicameral Attack Resistance-0_5-run-053,0.5,94,980,0.7303370786516854,0.2696629213483146,0.5104445330653692,0.02500562626590983,17.9438202247191,0.011111111111111112,0.4434356347852626,0.49040477788070685,0.09523809523809523,0.39502634185129654,0.3511640211640211,0.3076382720473586,0.9888888888888889,90,74.57303370786516,13934.372513875336
Bicameral Attack Resistance-0_5-run-055,0.5,96,967,0.7469879518072289,0.25301204819277107,0.5054306768212689,0.025002500250025,18.180722891566266,0.011904761904761904,0.43437064844127393,0.4887696724444871,0.09523809523809523,0.33215142124983094,0.3626417233560089,0.3191032229354826,1,84,77.07228915662651,4633.128883356486
Bicameral Attack Resistance-0_5-run-054,0.5,95,987,0.7446808510638298,0.2553191489361702,0.5147511059631928,0.025003125390673835,17.78723404255319,0.06,0.42327239944044825,0.4834183188608996,0.09523809523809523,0.3689091093880352,0.3535714285714285,0.3098118446215341,1,100,78.98936170212765,11617.885321006295
Bicameral Attack Resistance-0_5-run-057,0.5,98,1079,0.7551020408163265,0.24489795918367346,0.5074737345173217,0.025,17.5,0.010101010101010102,0.4461546486764096,0.48472145959085394,0.1,0.31824738092795746,0.36132756132756133,0.31258189320324964,1,99,76.65306122448979,10640.504116768901
Bicameral Attack Resistance-0_5-run-056,0.5,97,1045,0.8125,0.1875,0.5524906040114053,0.025,18.791666666666668,0.04,0.45004630592538697,0.5085442206039172,0.1,0.35063909824752143,0.3650476190476189,0.3313379509060182,1,100,79.85416666666667,6081.954709743796
Bicameral Attack Resistance-0_5-run-058,0.5,99,1020,0.813953488372093,0.18604651162790697,0.5258923483568979,0.025,18.953488372093023,0.06521739130434782,0.44820368431156016,0.48950302978507104,0.1,0.3685409670001678,0.35973084886128354,0.31809102756217345,1,92,80.81395348837209,24938.892005370282
Bicameral Attack Resistance-0_5-run-060,0.5,101,1002,0.7244897959183674,0.2755102040816326,0.5244479496522004,0.025,17.897959183673468,0.02,0.43257810825118415,0.4999012000757403,0.1,0.317278221436355,0.36352380952380947,0.3165625527124629,1,100,77.89795918367346,11625.037923492077
Bicameral Attack Resistance-0_5-run-059,0.5,100,1150,0.743801652892562,0.256198347107438,0.5090024215031467,0.025006251562890724,17.96694214876033,0.047244094488188976,0.4390266232747532,0.4992779405021904,0.09523809523809523,0.32494199895266535,0.3578927634045744,0.31470626458901374,1,127,78.88429752066116,8298.03336091272
Bicameral Attack Resistance-0_5-run-061,0.5,102,916,0.7065217391304348,0.29347826086956524,0.5229166792526568,0.025003125390673835,17.815217391304348,0.02127659574468085,0.42845894264794343,0.5019286509154925,0.09523809523809523,0.3619860918925303,0.35947315096251253,0.3158426089356453,1,94,77.1304347826087,11056.07976071587
Bicameral Attack Resistance-0_5-run-063,0.5,104,928,0.7777777777777778,0.2222222222222222,0.49127366433913433,0.025,18.80246913580247,0.047058823529411764,0.43406630453346917,0.47806809915115694,0.1,0.3288469070150846,0.35691876750700274,0.3057649545070708,1,85,78.65432098765432,12991.914113272202
Bicameral Attack Resistance-0_5-run-062,0.5,103,1004,0.8352941176470589,0.16470588235294117,0.5265943455680673,0.025003125390673835,17.352941176470587,0.03409090909090909,0.41360118432182147,0.5022703900949874,0.09523809523809523,0.346091797521573,0.35746753246753243,0.31678315321466854,1,88,77.71764705882353,4870.97606516107
Bicameral Attack Resistance-0_5-run-064,0.5,105,931,0.7333333333333333,0.26666666666666666,0.513813285243582,0.025006251562890724,17.322222222222223,0.0425531914893617,0.44068652782416223,0.4943973249033834,0.09523809523809523,0.3204156098232956,0.35526849037487335,0.3029374915283298,1,94,77.92222222222222,5150.306143654242
Bicameral Attack Resistance-0_5-run-066,0.5,107,978,0.7741935483870968,0.22580645161290322,0.5279193204213751,0.025,18.591397849462364,0.041237113402061855,0.4414466800407459,0.4922013211932663,0.1,0.3479851306464495,0.36416298478154124,0.32831675004967603,1,97,79.76344086021506,22271.316424874713
Bicameral Attack Resistance-0_5-run-069,0.5,110,916,0.7553191489361702,0.24468085106382978,0.5089398986572921,0.025,19,0.04081632653061224,0.4616467532482218,0.4910724678946743,0.1,0.37822456590884085,0.3475218658892128,0.3080512960798432,0.9897959183673469,98,76.08510638297872,12115.03234248617
Bicameral Attack Resistance-0_5-run-067,0.5,108,950,0.7710843373493976,0.2289156626506024,0.5243873122093292,0.025,18.987951807228917,0.06741573033707865,0.44875019604134186,0.49575635786013267,0.1,0.3337062131574487,0.35018726591760296,0.30370119387412237,1,89,78.855421686747,5010.022885856597
Bicameral Attack Resistance-0_5-run-065,0.5,106,981,0.7525773195876289,0.24742268041237114,0.5120038970839237,0.025003125390673835,17.95876288659794,0,0.4615702413941421,0.5078713012361286,0.09523809523809523,0.3487286184511329,0.3579774177712321,0.3288848725461129,1,97,75.17525773195877,13479.825843920762
Bicameral Attack Resistance-0_5-run-070,0.5,111,951,0.7191011235955056,0.2808988764044944,0.5173028128549408,0.025,17.303370786516854,0.043010752688172046,0.4496505283621407,0.501612746107478,0.1,0.2869619531834943,0.35898617511520725,0.3167203564398562,1,93,78.7752808988764,13019.962066380236
Bicameral Attack Resistance-0_5-run-068,0.5,109,1030,0.776595744680851,0.22340425531914893,0.5120206080908802,0.025003125390673835,18.79787234042553,0.030927835051546393,0.43771529233198603,0.5040065116733372,0.09523809523809523,0.3678350241319507,0.3555719194894452,0.3129953166653644,1,97,77.05319148936171,11173.119587703779
Bicameral Attack Resistance-0_5-run-071,0.5,112,994,0.7010309278350515,0.29896907216494845,0.499975706189961,0.025003125390673835,17.97938144329897,0.020202020202020204,0.4428092574736023,0.48193721575866727,0.09523809523809523,0.3084507792449699,0.363011063011063,0.3107587267070722,1,99,77.80412371134021,25141.409919158006
Bicameral Attack Resistance-0_5-run-074,0.5,115,952,0.7391304347826086,0.2608695652173913,0.5087794448173728,0.025,19.282608695652176,0.041666666666666664,0.4535406667402449,0.4861253134312754,0.1,0.3257287604956693,0.3618551587301586,0.3192763862424858,1,96,79.29347826086956,14168.931730601918
Bicameral Attack Resistance-0_5-run-073,0.5,114,1014,0.7142857142857143,0.2857142857142857,0.5065258299959282,0.025,19.39047619047619,0.045454545454545456,0.44402886158602567,0.48568429235532234,0.1,0.2788328414644216,0.3617748917748915,0.3139899774408028,1,110,79.5904761904762,5197.051236133587
Bicameral Attack Resistance-0_5-run-072,0.5,113,1011,0.7849462365591398,0.21505376344086022,0.5171785304218557,0.025003125390673835,19.204301075268816,0.021052631578947368,0.44996758119212515,0.48728825254079694,0.09523809523809523,0.35916940636778144,0.3626065162907267,0.3197469854660434,1,95,77.78494623655914,16065.16422475147
Bicameral Attack Resistance-0_5-run-078,0.5,119,917,0.7227722772277227,0.27722772277227725,0.5050463907445892,0.025,17.514851485148515,0.04716981132075472,0.45479240966220424,0.48448515138470427,0.1,0.34435394592535284,0.36019766397124875,0.31739586748151305,1,106,79.38613861386139,7578.7555413616055
Bicameral Attack Resistance-0_5-run-076,0.5,117,893,0.7222222222222222,0.2777777777777778,0.5265485586568115,0.025,16.977777777777778,0,0.46535941939407194,0.4976934785798942,0.1,0.36714926360850375,0.36259259259259236,0.3253899265598829,1,90,76.14444444444445,10837.027431396831
Bicameral Attack Resistance-0_5-run-077,0.5,118,934,0.7375,0.2625,0.5150775085877917,0.025,18.2875,0.024390243902439025,0.43803140439869254,0.49510309004062963,0.1,0.3642217736283123,0.35818815331010445,0.31035665031449544,1,82,77.1,37289.80775988919
Bicameral Attack Resistance-0_5-run-075,0.5,116,1011,0.8,0.2,0.530670064755968,0.025,19.263157894736842,0.04040404040404041,0.46814005211508714,0.49897896994891755,0.1,0.3112608736028456,0.3619047619047616,0.3218693978676144,1,99,79.2,4863.6805288656315
Bicameral Attack Resistance-0_5-run-079,0.5,120,1036,0.7572815533980582,0.24271844660194175,0.5149615420589149,0.025,19.29126213592233,0.046296296296296294,0.4395493898124335,0.49174808050921853,0.1,0.3194203779822897,0.35679012345678995,0.3102122862143771,1,108,78.5631067961165,17175.478254946996
Bicameral Attack Resistance-0_5-run-080,0.5,121,1028,0.7311827956989247,0.26881720430107525,0.506953064749001,0.025003125390673835,18.161290322580644,0.05102040816326531,0.4436377326683288,0.4843805237992944,0.09523809523809523,0.35955579365725526,0.3571914480077744,0.3139263788143408,1,98,79.04301075268818,12901.590411823174
Bicameral Attack Resistance-0_5-run-081,0.5,122,969,0.7959183673469388,0.20408163265306123,0.5222110447791761,0.025,18.5,0.057692307692307696,0.4408154488592176,0.49855528348378725,0.1,0.3127372111002823,0.3503663003663003,0.30761961550924355,1,104,78.08163265306122,11554.2396516117
Bicameral Attack Resistance-0_5-run-086,0.5,127,838,0.7530864197530864,0.24691358024691357,0.5129909167858242,0.025,18.493827160493826,0.012195121951219513,0.4669934797358748,0.4906678908890712,0.1,0.3535084692843024,0.35853658536585364,0.3206182350462739,1,82,76.22222222222223,13062.3777502654
Bicameral Attack Resistance-0_5-run-084,0.5,125,959,0.8068181818181818,0.19318181818181818,0.5273126226565359,0.025003125390673835,17.852272727272727,0.053763440860215055,0.45670234002333027,0.49533942250846275,0.09523809523809523,0.3684483245220264,0.356016385048643,0.3093736438255201,1,93,79.01136363636364,13761.665961427501
Bicameral Attack Resistance-0_5-run-083,0.5,124,950,0.7209302325581395,0.27906976744186046,0.5293155466190321,0.025,19.372093023255815,0.011494252873563218,0.45698469976400946,0.49782136213280054,0.1,0.33222217459249603,0.3672140120415982,0.32959706483295553,1,87,78.01162790697674,36425.57621052891
Bicameral Attack Resistance-0_5-run-082,0.5,123,1080,0.69,0.31,0.4939677769729627,0.025003125390673835,18.3,0.02912621359223301,0.4433777941209903,0.4813959158273423,0.09523809523809523,0.32652446619295433,0.353213129912159,0.3040688873304278,1,103,76.4,13366.474817554994
Bicameral Attack Resistance-0_5-run-088,0.5,129,982,0.7272727272727273,0.2727272727272727,0.5162119971792543,0.025,18.68686868686869,0.0660377358490566,0.43725697939570046,0.4985857307248573,0.1,0.33702910715932927,0.3512578616352199,0.3140959797570437,0.9905660377358491,106,78.97979797979798,7974.007305760798
Bicameral Attack Resistance-0_5-run-087,0.5,128,963,0.75,0.25,0.5167432328787014,0.025003125390673835,18.2625,0.024390243902439025,0.45915298883086036,0.49009727056674474,0.09523809523809523,0.33165179470517503,0.3633565621370499,0.31978735110159856,1,82,78.2125,12185.812392222673
Bicameral Attack Resistance-0_5-run-089,0.5,130,882,0.7906976744186046,0.20930232558139536,0.5195227521810062,0.025,17.75581395348837,0.011494252873563218,0.4690538000664313,0.5015115937552852,0.1,0.38617470660021574,0.37115489874110547,0.3369124848663554,1,87,78.84883720930233,5935.208726063334
